word;sentence;offensive
lousy;IF YOU REALLY WANT TO HEAR about it, the first thing you’ll probably want to know is where I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don’t feel like going into it, if you want to know the truth.;not_offensive
crap;IF YOU REALLY WANT TO HEAR about it, the first thing you’ll probably want to know is where I was born, an what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don’t feel like going into it, if you want to know the truth.;not_offensive
bores;In the first place, that stuff bores me, and in the second place, my parents would have about two hemorrhages apiece if I told anything pretty personal about them.;not_offensive
mean;I mean that’s all I told D.B.;not_offensive
prostitute;Now he’s out in Hollywood, D.B., being a prostitute.;offensive
hate;If there’s one thing I hate, it’s the movies.;not_offensive
damn;They don’t do any damn more molding at Pencey than they do at any other school.;not_offensive
suicide;It was the last game of the year, and you were supposed to commit suicide or something if old Pencey didn’t win.;not_offensive
crazy;I remember around three o’clock that afternoon I was standing way the hell up on top of Thomsen Hill, right next to this crazy cannon that was in the Revolutionary War and all.;offensive
faggy;You couldn’t see the grandstand too hot, but you could hear them all yelling, deep and terrific on the Pencey side, because practically the whole school except me was there, and scrawny and faggy on the Saxon Hall side, because the visiting team hardly ever brought many people with them.;offensive
terrible;It was a terrible school, no matter how you looked at it.;offensive
mad;Old Selma Thurmer-she was the headmaster’s daughter- showed up at the games quite often, but she wasn’t exactly the type that drove you mad with desire.;not_offensive
struck;I sat next to her once in the bus from Agerstown and we sort of struck up a conversation.;not_offensive
damn;She had a big nose and her nails were all bitten down and bleedy-looking and she had on those damn falsies that point all over the place, but you felt sort of sorry for her.;offensive
phony;She probably knew what a phony slob he was.;offensive
slob;She probably knew what a phony slob he was.;offensive
academic;It has a very good academic rating, Pencey.;not_offensive
stupid;Anyway, it was December and all, and it was cold as a witch’s teat, especially on top of that stupid hill.;offensive
stolen;The week before that, somebody’d stolen my camel’s-hair coat right out of my room, with my fur-lined gloves right in the pocket and all.;not_offensive
crazy;Anyway, I kept standing next to that crazy cannon, looking down at the game and freezing my ass off.;not_offensive
ass;Anyway, I kept standing next to that crazy cannon, looking down at the game and freezing my ass off.;not_offensive
mean;I mean I’ve left schools and places I didn’t even know I was leaving them.;not_offensive
sad;I don’t care if it’s a sad good-by or a bad goodby, but when I leave a place I like to know I’m leaving it.;not_offensive
bad;I don’t care if it’s a sad good-by or a bad goodby, but when I leave a place I like to know I’m leaving it.;not_offensive
worse;If you don’t, you feel even worse.;not_offensive
academic;I suddenly remembered this time, in around October, that I and Robert Tichener and Paul Campbell were chucking a football around, in front of the academic building.;not_offensive
ball;It was just before dinner and it was getting pretty dark out, but we kept chucking the ball around anyway.;not_offensive
ball;It kept getting darker and darker, and we could hardly see the ball any more, but we didn’t want to stop doing what we were doing.;not_offensive
stuck;Zambesi, stuck his head out of this window in the academic building and told us to go back to the dorm and get ready for dinner.;not_offensive
academic;Zambesi, stuck his head out of this window in the academic building and told us to go back to the dorm and get ready for dinner.;not_offensive
cut;They made me cut it out.;not_offensive
crazy;It was that kind of a crazy afternoon, terrifically cold, and no sun out or anything, and you felt like you were disappearing every time you crossed a road.;not_offensive
crossed;It was that kind of a crazy afternoon, terrifically cold, and no sun out or anything, and you felt like you were disappearing every time you crossed a road.;not_offensive
fast;Boy, I rang that doorbell fast when I got to old Spencer’s house.;not_offensive
fast;Boy, did I get in that house fast.;not_offensive
cut;I wear a crew cut quite frequently and I never have to comb it much.;not_offensive
bang;They got a bang out of things, though-in a haif-assed way, of course.;not_offensive
mean;I know that sounds mean to say, but I don’t mean it mean.;not_offensive
mean;I just mean that I used to think about old Spencer quite a lot, and if you thought about him too much, you wondered what the heck he was still living for.;not_offensive
mean;I mean he was all stooped over, and he had very terrible posture, and in class, whenever he dropped a piece of chalk at the blackboard, some guy in the first row always had to get up and pick it up and hand it to him.;not_offensive
terrible;I mean he was all stooped over, and he had very terrible posture, and in class, whenever he dropped a piece of chalk at the blackboard, some guy in the first row always had to get up and pick it up and hand it to him.;not_offensive
bad;But if you thought about him just enough and not too much, you could figure it out that he wasn’t doing too bad for himself.;not_offensive
bang;You could tell old Spencer’d got a big bang out of buying it.;not_offensive
mean;That’s what I mean.;not_offensive
bang;You take somebody old as hell, like old Spencer, and they can get a big bang out of buying a blanket.;offensive
depressing;It was pretty depressing.;not_offensive
crazy;I’m not too crazy about sick people, anyway.;not_offensive
ass;You never knew if he was nodding a lot because he was thinking and all, or just because he was a nice old guy that didn’t know his ass from his elbow.;offensive
mean;I mean he didn’t hit the ceiling or anything.;not_offensive
lousy;Partly because I have a lousy vocabulary and partly because I act quite young for my age sometimes.;not_offensive
damn;I don’t give a damn, except that I get bored sometimes when people tell me to act my age.;not_offensive
hate;There’s a word I really hate.;not_offensive
phony;It’s a phony.;offensive
puke;I could puke every time I hear it.;not_offensive
false;It was a false alarm, though.;not_offensive
lift;All he did was lift the Atlantic Monthly off his lap and try to chuck it on the bed, next to me.;not_offensive
ass;And how many are you failing in?” “Four.” I moved my ass a little bit on the bed.;not_offensive
mad;He was mad about history.;not_offensive
crap;I had to sit there and listen to that crap.;offensive
dirty;It certainly was a dirty trick.;offensive
trick;It certainly was a dirty trick.;offensive
dead;Modern science would still like to know what the secret ingredients were that the Egyptians used when they wrapped up dead people so that their faces would not rot for innumerable centuries.;not_offensive
rot;Modern science would still like to know what the secret ingredients were that the Egyptians used when they wrapped up dead people so that their faces would not rot for innumerable centuries.;not_offensive
fast;I said it very fast because I wanted to stop him before he started reading that out loud.;not_offensive
hot;He was hot as a firecracker.;not_offensive
damn;In the first place, I’d only written that damn note so that he wouldn’t feel too bad about flunking me.;offensive
flunking;“Do you blame me for flunking you, boy?” he said.;not_offensive
boring;It’s boring to do that every two minutes.;not_offensive
lousy;“Tell the truth, boy.” Well, you could see he really felt pretty lousy about flunking me.;not_offensive
flunking;“Tell the truth, boy.” Well, you could see he really felt pretty lousy about flunking me.;not_offensive
bull;So I shot the bull for a while.;not_offensive
moron;I told him I was a real moron, and all that stuff.;not_offensive
bull;The old bull.;not_offensive
bull;The funny thing is, though, I was sort of thinking of something else while I shot the bull.;not_offensive
mean;I mean I could shoot the old bull to old Spencer and think about those ducks at the same time.;not_offensive
bull;I mean I could shoot the old bull to old Spencer and think about those ducks at the same time.;not_offensive
hard;You don’t have to think too hard when you talk to a teacher.;not_offensive
bull;All of a sudden, though, he interrupted me while I was shooting the bull.;not_offensive
mean;Very interested.” “You mean about my flunking out of Pencey and all?” I said.;not_offensive
